c1                                                                                op21                                                                              c2                                                                                op23                                                                              c3                                                                                count
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P1_is_identified_by                               http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation                 8829
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation                 http://erlangen-crm.org/current/P1_is_identified_by                               http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          8829
http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P138_represents                                   http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P104_is_subject_to                                http://erlangen-crm.org/current/E30_Right                                         8780
http://erlangen-crm.org/current/E30_Right                                         http://erlangen-crm.org/current/P104_is_subject_to                                http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P138_represents                                   http://erlangen-crm.org/current/E22_Man-Made_Object                               8780
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P138_represents                                   http://erlangen-crm.org/current/E22_Man-Made_Object                               8738
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P104_is_subject_to                                http://erlangen-crm.org/current/E30_Right                                         8738
http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P138_represents                                   http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          8738
http://erlangen-crm.org/current/E30_Right                                         http://erlangen-crm.org/current/P104_is_subject_to                                http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          8738
http://erlangen-crm.org/current/E67_Birth                                         http://erlangen-crm.org/current/P98i_was_born                                     http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P100i_died_in                                     http://erlangen-crm.org/current/E69_Death                                         8127
http://erlangen-crm.org/current/E69_Death                                         http://erlangen-crm.org/current/P100i_died_in                                     http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P98i_was_born                                     http://erlangen-crm.org/current/E67_Birth                                         8127
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P107i_is_current_or_former_member_of              http://erlangen-crm.org/current/E74_Group                                         7794
http://erlangen-crm.org/current/E74_Group                                         http://erlangen-crm.org/current/P107i_is_current_or_former_member_of              http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    7794
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P98i_was_born                                     http://erlangen-crm.org/current/E67_Birth                                         7523
http://erlangen-crm.org/current/E67_Birth                                         http://erlangen-crm.org/current/P98i_was_born                                     http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    7523
http://erlangen-crm.org/current/E69_Death                                         http://erlangen-crm.org/current/P100i_died_in                                     http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    7511
